Idcircuito;CHACO CAMBIA + JUNTOS POR EL CAMBIO;DEL OBRERO;FRENTE DE TODOS;FRENTE INTEGRADOR;FRENTE VAMOS CON VOS;Grand Total;CHACO CAMBIA + JUNTOS POR EL CAMBIO;DEL OBRERO;FRENTE DE TODOS;FRENTE INTEGRADOR;FRENTE VAMOS CON VOS;Grand Total;Ganador
0005A;3888;165;1967;862;85;6967;0.558059423;0.023683077;0.282330989;0.123726138;0.012200373;1;CHACO CAMBIA + JUNTOS POR EL CAMBIO
0005B;1590;157;2494;511;85;4837;0.328716146;0.032458135;0.515608848;0.105643994;0.017572876;1;FRENTE DE TODOS
0007A;4022;220;2428;977;135;7782;0.516833719;0.028270368;0.312002056;0.125546132;0.017347726;1;CHACO CAMBIA + JUNTOS POR EL CAMBIO
0007B;3842;330;3402;1349;188;9111;0.421688069;0.036219954;0.373394797;0.148062781;0.020634398;1;CHACO CAMBIA + JUNTOS POR EL CAMBIO
0008A;5995;490;6846;2430;345;16106;0.372221532;0.030423445;0.425058984;0.15087545;0.021420589;1;FRENTE DE TODOS
0008B;4173;476;3808;1502;135;10094;0.413413909;0.047156727;0.377253814;0.148801268;0.013374282;1;CHACO CAMBIA + JUNTOS POR EL CAMBIO
0011A;2727;189;2188;1022;119;6245;0.436669335;0.030264211;0.350360288;0.163650921;0.019055244;1;CHACO CAMBIA + JUNTOS POR EL CAMBIO
0011B;4749;416;5920;2257;243;13585;0.349576739;0.03062201;0.435774752;0.166139124;0.017887376;1;FRENTE DE TODOS
0013A;2858;329;4199;1277;281;8944;0.319543828;0.036784436;0.469476744;0.142777281;0.03141771;1;FRENTE DE TODOS
0013B;5221;513;6536;2098;436;14804;0.352674953;0.034652797;0.441502297;0.141718454;0.0294515;1;FRENTE DE TODOS
0016A;8590;632;7444;2744;623;20033;0.428792492;0.031547946;0.371586882;0.136973993;0.031098687;1;CHACO CAMBIA + JUNTOS POR EL CAMBIO
0016B;5261;305;3682;1683;281;11212;0.469229397;0.027202997;0.328398145;0.150107028;0.025062433;1;CHACO CAMBIA + JUNTOS POR EL CAMBIO
0016C;4116;255;2320;1143;187;8021;0.513152973;0.031791547;0.289240743;0.142500935;0.023313801;1;CHACO CAMBIA + JUNTOS POR EL CAMBIO
0019A;2037;171;1735;545;82;4570;0.445733042;0.037417943;0.379649891;0.119256018;0.017943107;1;CHACO CAMBIA + JUNTOS POR EL CAMBIO
0019B;1743;164;2207;545;117;4776;0.364949749;0.034338358;0.462102178;0.114112228;0.024497487;1;FRENTE DE TODOS
0022A;1687;227;3248;952;155;6269;0.26910193;0.036209922;0.518104961;0.151858351;0.024724836;1;FRENTE DE TODOS
0022B;2498;324;3444;1319;248;7833;0.318907188;0.041363462;0.439678284;0.168390144;0.031660922;1;FRENTE DE TODOS
0055A;351;10;683;82;7;1133;0.309796999;0.008826125;0.60282436;0.072374228;0.006178288;1;FRENTE DE TODOS
0055B;92;2;475;5;3;577;0.159445407;0.003466205;0.82322357;0.008665511;0.005199307;1;FRENTE DE TODOS
0134A;215;10;642;35;8;910;0.236263736;0.010989011;0.705494505;0.038461538;0.008791209;1;FRENTE DE TODOS
0134B;982;8;1409;38;9;2446;0.401471791;0.003270646;0.576042518;0.015535568;0.003679477;1;FRENTE DE TODOS
0135A;429;9;908;23;7;1376;0.311773256;0.006540698;0.659883721;0.016715116;0.005087209;1;FRENTE DE TODOS
0135B;1492;111;2232;478;32;4345;0.343383199;0.025546605;0.513693901;0.110011507;0.007364787;1;FRENTE DE TODOS
0135C;49;17;125;8;0;199;0.246231156;0.085427136;0.628140704;0.040201005;0;1;FRENTE DE TODOS
0138A;72;2;60;6;63;203;0.354679803;0.009852217;0.295566502;0.02955665;0.310344828;1;CHACO CAMBIA + JUNTOS POR EL CAMBIO
0138B;1271;61;2210;211;43;3796;0.334826133;0.016069547;0.582191781;0.055584826;0.011327713;1;FRENTE DE TODOS
1;2515;85;614;320;43;3577;0.703103159;0.02376293;0.171652223;0.089460442;0.012021247;1;CHACO CAMBIA + JUNTOS POR EL CAMBIO
2;2311;62;560;272;37;3242;0.712831585;0.019123998;0.172732881;0.083898828;0.011412708;1;CHACO CAMBIA + JUNTOS POR EL CAMBIO
3;2127;87;559;326;37;3136;0.678252551;0.027742347;0.178252551;0.103954082;0.011798469;1;CHACO CAMBIA + JUNTOS POR EL CAMBIO
4;2391;87;610;316;42;3446;0.69384794;0.025246663;0.177016831;0.091700522;0.012188044;1;CHACO CAMBIA + JUNTOS POR EL CAMBIO
6;1044;71;497;239;21;1872;0.557692308;0.03792735;0.265491453;0.12767094;0.011217949;1;CHACO CAMBIA + JUNTOS POR EL CAMBIO
9;1895;199;3935;1016;126;7171;0.26425882;0.027750662;0.548737972;0.141681774;0.017570771;1;FRENTE DE TODOS
10;2694;217;2560;1226;90;6787;0.396935318;0.031972889;0.37719169;0.180639458;0.013260645;1;CHACO CAMBIA + JUNTOS POR EL CAMBIO
12;1705;263;4205;1352;460;7985;0.21352536;0.032936756;0.526612398;0.16931747;0.057608015;1;FRENTE DE TODOS
14;2340;114;1007;540;68;4069;0.575079872;0.028016712;0.247480954;0.13271074;0.016711723;1;CHACO CAMBIA + JUNTOS POR EL CAMBIO
15;5361;369;3651;1496;214;11091;0.48336489;0.033270219;0.329185826;0.13488414;0.019294924;1;CHACO CAMBIA + JUNTOS POR EL CAMBIO
17;1476;58;805;267;43;2649;0.557191393;0.021895055;0.30388826;0.100792752;0.016232541;1;CHACO CAMBIA + JUNTOS POR EL CAMBIO
18;2483;292;3411;904;227;7317;0.339346727;0.039907066;0.466174662;0.123547902;0.031023644;1;FRENTE DE TODOS
20;788;32;385;174;20;1399;0.563259471;0.022873481;0.275196569;0.124374553;0.014295926;1;CHACO CAMBIA + JUNTOS POR EL CAMBIO
21;1771;193;3166;665;142;5937;0.298298804;0.032508001;0.533265959;0.112009432;0.023917804;1;FRENTE DE TODOS
23;2018;369;3934;1029;309;7659;0.263480872;0.048178613;0.513644079;0.134351743;0.040344693;1;FRENTE DE TODOS
24;87;4;174;12;1;278;0.31294964;0.014388489;0.625899281;0.043165468;0.003597122;1;FRENTE DE TODOS
25;1;0;1;0;0;2;0.5;0;0.5;0;0;1;FRENTE DE TODOS
26;1223;36;1156;178;286;2879;0.424800278;0.012504342;0.401528308;0.061827023;0.099340049;1;CHACO CAMBIA + JUNTOS POR EL CAMBIO
